return_id,sku_id,transaction_id,return_date,return_reason,refund_amount,restocked
RET000028,SKU0058,TXN0013099,2024-06-18,wrong_size,187.87,True
RET000029,SKU0218,TXN0055679,2023-10-18,style_preference,94.44,True
RET000030,SKU0016,TXN0003914,2024-05-31,style_preference,62.52,False
RET000031,SKU0129,TXN0032612,2023-02-06,wrong_size,47.58,True
RET000032,SKU0096,TXN0023882,2024-02-10,quality_issue,176.83,True
RET000033,SKU0086,TXN0021359,2023-08-10,quality_issue,117.75,True
RET000034,SKU0290,TXN0073627,2025-01-10,quality_issue,43.05,False
RET000035,SKU0091,TXN0022945,2024-03-05,style_preference,87.28,True
RET000036,SKU0179,TXN0045411,2024-09-02,wrong_size,381.58,True
RET000037,SKU0104,TXN0025594,2023-11-09,wrong_size,574.97,True
RET000038,SKU0188,TXN0047826,2025-01-15,wrong_size,62.79,True
RET000039,SKU0148,TXN0037060,2023-05-27,style_preference,178.36,True
RET000040,SKU0228,TXN0058330,2024-02-28,defective,216.25,True
RET000041,SKU0203,TXN0052382,2024-08-06,quality_issue,221.64,True
RET000042,SKU0174,TXN0043994,2023-09-05,wrong_size,532.97,True
RET000043,SKU0040,TXN0008389,2024-07-22,quality_issue,471.89,False
RET000044,SKU0268,TXN0067636,2023-11-10,quality_issue,43.84,False
RET000045,SKU0213,TXN0054497,2023-08-20,defective,47.49,True
RET000046,SKU0167,TXN0041789,2023-02-04,wrong_size,388.93,True
RET000047,SKU0236,TXN0060419,2024-03-16,wrong_size,266.53,True
RET000048,SKU0174,TXN0044145,2024-04-13,defective,561.14,False
RET000049,SKU0158,TXN0039127,2023-05-09,wrong_size,358.87,True
RET000050,SKU0074,TXN0016982,2024-07-19,wrong_size,63.45,True
RET000051,SKU0094,TXN0023580,2024-02-17,style_preference,177.47,False
RET000052,SKU0256,TXN0064744,2023-08-10,style_preference,258.48,False
RET000053,SKU0123,TXN0030829,2023-04-22,defective,42.58,False
RET000054,SKU0187,TXN0047331,2024-06-04,defective,169.64,True
RET000055,SKU0247,TXN0062725,2024-03-11,style_preference,161.13,True
RET000056,SKU0081,TXN0019309,2023-01-25,defective,337.42,True
RET000057,SKU0001,TXN0000128,2023-07-24,defective,418.17,False
RET000058,SKU0124,TXN0031395,2024-09-21,wrong_size,113.46,False
RET000059,SKU0108,TXN0026896,2024-02-23,style_preference,97.46,False
RET000060,SKU0195,TXN0049316,2023-02-18,defective,94.97,True
RET000061,SKU0141,TXN0035768,2024-04-19,wrong_item,218.03,True
RET000062,SKU0259,TXN0065081,2023-08-22,style_preference,74.28,False
RET000063,SKU0003,TXN0000653,2023-12-06,defective,320.73,False
RET000064,SKU0201,TXN0052115,2024-10-01,quality_issue,389.16,False
RET000065,SKU0290,TXN0073410,2024-05-05,defective,50.5,True
RET000066,SKU0085,TXN0021001,2023-04-07,style_preference,64.4,True
RET000067,SKU0184,TXN0045968,2023-08-28,wrong_size,148.57,False
RET000068,SKU0169,TXN0042918,2024-10-06,style_preference,122.41,False
RET000069,SKU0105,TXN0025820,2023-02-15,quality_issue,457.16,False
RET000070,SKU0132,TXN0033534,2024-12-31,style_preference,995.47,False
RET000071,SKU0164,TXN0040747,2024-03-20,wrong_item,67.82,True
RET000072,SKU0259,TXN0065211,2024-05-23,wrong_size,83.23,True
RET000073,SKU0145,TXN0036662,2024-08-29,defective,141.05,True
RET000074,SKU0189,TXN0048043,2024-06-17,wrong_size,371.12,True
RET000075,SKU0077,TXN0017487,2023-02-10,style_preference,119.0,False
RET000076,SKU0040,TXN0008379,2024-06-17,defective,409.0,False
RET000077,SKU0159,TXN0039654,2024-09-29,wrong_size,423.23,False
RET000078,SKU0062,TXN0013703,2024-08-13,quality_issue,122.49,True
RET000079,SKU0035,TXN0007384,2024-07-15,quality_issue,127.71,True
RET000080,SKU0210,TXN0053979,2024-01-09,quality_issue,138.12,False
RET000081,SKU0167,TXN0042059,2024-09-15,defective,375.85,True
RET000082,SKU0035,TXN0007364,2024-06-12,wrong_item,117.16,True
RET000083,SKU0133,TXN0033917,2024-06-17,quality_issue,186.01,True
RET000084,SKU0196,TXN0050290,2024-04-29,wrong_size,86.47,False
RET000085,SKU0236,TXN0060445,2024-05-16,wrong_size,294.32,True
RET000086,SKU0184,TXN0045885,2023-05-25,style_preference,154.27,False
RET000087,SKU0214,TXN0054988,2024-06-06,style_preference,277.88,True
RET000088,SKU0250,TXN0063491,2023-02-23,quality_issue,152.06,True
RET000089,SKU0067,TXN0015046,2023-04-17,wrong_size,200.33,False
RET000090,SKU0138,TXN0035183,2024-11-06,quality_issue,172.5,False
RET000091,SKU0273,TXN0069393,2023-06-23,wrong_size,72.66,False
RET000092,SKU0082,TXN0020298,2024-08-06,wrong_size,235.68,False
RET000093,SKU0026,TXN0005074,2023-02-01,quality_issue,81.56,True
RET000094,SKU0192,TXN0048401,2024-01-10,wrong_size,95.13,True
RET000095,SKU0292,TXN0073979,2023-06-27,wrong_item,73.02,True
RET000096,SKU0247,TXN0062807,2024-08-14,quality_issue,168.63,True
RET000097,SKU0119,TXN0029652,2023-12-20,defective,145.65,True
RET000098,SKU0240,TXN0061288,2023-11-28,quality_issue,105.88,True
RET000099,SKU0203,TXN0052340,2024-05-19,defective,202.17,False
RET000100,SKU0260,TXN0065537,2024-06-09,quality_issue,183.8,True
RET000101,SKU0149,TXN0037850,2025-01-10,defective,107.03,False
RET000102,SKU0168,TXN0042233,2023-07-08,style_preference,456.16,False
RET000103,SKU0220,TXN0056572,2024-11-09,wrong_size,207.81,False
RET000104,SKU0043,TXN0008677,2024-07-16,defective,451.9,True
RET000105,SKU0261,TXN0065915,2024-08-11,wrong_size,56.17,True
RET000106,SKU0195,TXN0049393,2023-05-21,style_preference,87.71,True
RET000107,SKU0298,TXN0075655,2023-09-04,style_preference,387.69,False
RET000108,SKU0187,TXN0047111,2023-09-07,quality_issue,155.59,False
RET000109,SKU0246,TXN0062273,2023-06-08,quality_issue,347.72,False
RET000110,SKU0185,TXN0046848,2024-10-26,defective,242.82,True
RET000111,SKU0248,TXN0063444,2024-12-29,wrong_item,109.26,True
RET000112,SKU0195,TXN0049640,2024-01-30,wrong_size,101.7,False
RET000113,SKU0239,TXN0060590,2023-04-30,style_preference,60.42,False
RET000114,SKU0197,TXN0050559,2023-05-22,style_preference,143.43,True
RET000115,SKU0091,TXN0022812,2023-04-08,quality_issue,93.41,False
RET000116,SKU0296,TXN0075374,2024-06-11,wrong_item,571.12,True
RET000117,SKU0104,TXN0025719,2024-08-31,defective,528.36,False
RET000118,SKU0240,TXN0061089,2023-03-22,wrong_item,107.39,True
RET000119,SKU0110,TXN0027035,2023-02-16,quality_issue,1130.23,True
RET000120,SKU0218,TXN0055708,2023-11-26,wrong_size,95.56,True
RET000121,SKU0251,TXN0063922,2024-03-14,wrong_item,325.07,False
RET000122,SKU0228,TXN0058267,2023-10-20,wrong_size,202.26,True
RET000123,SKU0011,TXN0002297,2023-03-13,quality_issue,173.87,True
RET000124,SKU0294,TXN0074826,2024-12-18,wrong_size,81.69,False
RET000125,SKU0168,TXN0042378,2024-01-01,style_preference,464.1,True
RET000126,SKU0121,TXN0030390,2024-07-12,wrong_item,170.22,False
RET000127,SKU0228,TXN0058414,2024-09-23,quality_issue,219.0,False
RET000128,SKU0027,TXN0005538,2024-02-29,wrong_size,200.47,True
RET000129,SKU0232,TXN0059411,2024-02-02,style_preference,210.86,False
RET000130,SKU0286,TXN0071876,2023-04-12,wrong_size,196.53,True
RET000131,SKU0269,TXN0068044,2024-07-25,quality_issue,71.78,True
RET000132,SKU0059,TXN0013326,2023-12-13,wrong_item,77.29,False
RET000133,SKU0246,TXN0062259,2023-05-28,quality_issue,309.43,True
RET000134,SKU0200,TXN0051764,2024-09-03,wrong_item,190.52,True
RET000135,SKU0018,TXN0004233,2023-09-15,style_preference,86.06,True
RET000136,SKU0116,TXN0028448,2023-10-11,quality_issue,296.02,False
RET000137,SKU0197,TXN0050838,2024-10-26,wrong_size,168.14,True
RET000138,SKU0085,TXN0021148,2024-04-09,style_preference,71.79,False
RET000139,SKU0058,TXN0013160,2024-10-03,wrong_size,186.17,False
RET000140,SKU0039,TXN0007970,2023-11-05,wrong_item,57.77,True
RET000141,SKU0165,TXN0041313,2024-07-23,quality_issue,184.63,False
RET000142,SKU0195,TXN0049829,2024-10-01,style_preference,89.41,True
RET000143,SKU0118,TXN0029414,2024-07-12,quality_issue,429.93,True
RET000144,SKU0187,TXN0047484,2024-11-17,style_preference,158.53,True
RET000145,SKU0090,TXN0022768,2024-12-17,wrong_size,198.94,True
RET000146,SKU0031,TXN0006280,2023-07-22,wrong_size,354.08,True
RET000147,SKU0064,TXN0014109,2023-06-05,defective,243.06,False
RET000148,SKU0088,TXN0022042,2024-08-14,wrong_size,202.38,True
RET000149,SKU0119,TXN0029540,2023-02-10,style_preference,137.43,True
RET000150,SKU0118,TXN0029392,2024-05-11,wrong_size,360.89,True
RET000151,SKU0271,TXN0068685,2024-07-29,quality_issue,73.68,True
RET000152,SKU0267,TXN0067287,2023-07-02,wrong_size,93.17,False
RET000153,SKU0101,TXN0024922,2024-12-16,wrong_size,605.86,True
RET000154,SKU0171,TXN0043324,2024-05-09,quality_issue,70.14,False
RET000155,SKU0248,TXN0063411,2024-11-19,wrong_item,118.38,True
RET000156,SKU0156,TXN0038603,2024-02-17,quality_issue,276.82,True
RET000157,SKU0203,TXN0052398,2024-09-22,wrong_size,209.65,False
RET000158,SKU0192,TXN0048186,2023-03-30,wrong_size,91.72,True
RET000159,SKU0009,TXN0001448,2023-03-06,defective,58.8,True
RET000160,SKU0031,TXN0006335,2023-10-24,wrong_size,411.5,True
RET000161,SKU0108,TXN0027002,2024-12-12,wrong_size,95.04,False
RET000162,SKU0072,TXN0016094,2024-05-06,style_preference,125.87,True
RET000163,SKU0027,TXN0005552,2024-04-19,wrong_size,227.63,False
RET000164,SKU0132,TXN0033422,2024-05-07,wrong_size,1035.2,False
RET000165,SKU0185,TXN0046549,2023-10-11,style_preference,228.53,True
RET000166,SKU0265,TXN0067033,2023-09-02,wrong_item,901.89,True
RET000167,SKU0073,TXN0016459,2024-08-10,defective,313.64,True
RET000168,SKU0165,TXN0040925,2023-03-15,wrong_size,187.24,False
RET000169,SKU0271,TXN0068536,2023-10-22,wrong_item,67.61,False
RET000170,SKU0171,TXN0043001,2023-04-16,style_preference,62.14,False
RET000171,SKU0003,TXN0000680,2024-01-31,style_preference,381.62,True
RET000172,SKU0006,TXN0001183,2023-08-10,wrong_size,770.5,True
RET000173,SKU0218,TXN0055654,2023-09-18,wrong_size,102.05,True
RET000174,SKU0022,TXN0004811,2023-03-13,defective,166.66,True
RET000175,SKU0080,TXN0019286,2024-12-24,wrong_size,430.35,True
RET000176,SKU0189,TXN0048124,2024-12-22,style_preference,332.35,True
RET000177,SKU0134,TXN0034198,2023-12-09,style_preference,187.66,True
RET000178,SKU0265,TXN0067096,2024-03-01,quality_issue,793.25,True
RET000179,SKU0118,TXN0029307,2023-10-22,defective,365.56,True
RET000180,SKU0039,TXN0008139,2024-10-31,wrong_item,48.31,False
RET000181,SKU0004,TXN0000832,2023-02-11,quality_issue,349.5,False
RET000182,SKU0247,TXN0062808,2024-08-14,wrong_item,149.65,True
RET000183,SKU0067,TXN0015125,2023-10-08,quality_issue,226.06,True
RET000184,SKU0210,TXN0054130,2025-01-11,wrong_size,124.11,True
RET000185,SKU0116,TXN0028511,2024-03-29,quality_issue,271.51,False
RET000186,SKU0199,TXN0051395,2024-05-19,style_preference,69.16,True
RET000187,SKU0184,TXN0045867,2023-04-19,defective,143.58,True
RET000188,SKU0207,TXN0053146,2024-05-08,style_preference,61.14,True
RET000189,SKU0259,TXN0065277,2024-09-13,quality_issue,90.97,False
RET000190,SKU0104,TXN0025748,2024-10-24,wrong_size,531.16,True
RET000191,SKU0273,TXN0069659,2025-01-22,defective,77.79,False
RET000192,SKU0192,TXN0048617,2024-10-21,style_preference,95.14,True
RET000193,SKU0132,TXN0033506,2024-10-10,quality_issue,884.39,True
RET000194,SKU0086,TXN0021339,2023-07-16,defective,105.76,True
RET000195,SKU0100,TXN0024371,2023-06-10,quality_issue,682.79,True
RET000196,SKU0031,TXN0006433,2024-06-29,wrong_size,439.45,True
RET000197,SKU0117,TXN0029078,2024-07-26,style_preference,250.02,True
RET000198,SKU0016,TXN0004027,2024-10-03,defective,69.56,True
RET000199,SKU0077,TXN0017690,2023-10-12,wrong_size,107.86,False
RET000200,SKU0236,TXN0060440,2024-06-03,style_preference,304.97,True
RET000201,SKU0056,TXN0012591,2025-01-02,wrong_item,346.71,True
RET000202,SKU0027,TXN0005634,2024-11-13,style_preference,206.45,True
RET000203,SKU0122,TXN0030508,2023-03-16,wrong_size,123.4,False
RET000204,SKU0084,TXN0020497,2023-04-20,quality_issue,78.51,False
RET000205,SKU0267,TXN0067284,2023-06-21,style_preference,95.65,True
RET000206,SKU0247,TXN0062676,2023-11-18,style_preference,155.61,True
RET000207,SKU0104,TXN0025628,2024-01-14,style_preference,507.08,True
RET000208,SKU0294,TXN0074730,2024-05-19,defective,80.19,True
RET000209,SKU0262,TXN0066249,2024-09-23,style_preference,284.49,True
RET000210,SKU0078,TXN0018201,2023-10-02,wrong_size,332.54,True
RET000211,SKU0163,TXN0040237,2023-10-09,style_preference,98.04,True
RET000212,SKU0280,TXN0070494,2024-08-12,quality_issue,278.05,False
RET000213,SKU0144,TXN0036264,2023-08-16,defective,138.9,False
RET000214,SKU0124,TXN0031188,2023-07-19,style_preference,127.31,False
RET000215,SKU0010,TXN0002213,2024-08-09,style_preference,129.35,False
RET000216,SKU0013,TXN0002593,2023-01-29,style_preference,130.89,True
RET000217,SKU0179,TXN0045354,2024-07-04,quality_issue,367.9,False
RET000218,SKU0105,TXN0026104,2024-02-17,wrong_size,464.45,True
RET000219,SKU0031,TXN0006267,2023-07-07,style_preference,415.21,False
RET000220,SKU0169,TXN0042797,2024-01-08,wrong_size,118.16,True
RET000221,SKU0225,TXN0057314,2023-05-29,wrong_size,47.39,True
RET000222,SKU0272,TXN0069168,2024-07-18,quality_issue,92.41,False
RET000223,SKU0063,TXN0013993,2024-07-21,defective,126.59,True
RET000224,SKU0295,TXN0075164,2024-11-03,style_preference,239.35,True
RET000225,SKU0189,TXN0048041,2024-06-13,defective,378.89,True
RET000226,SKU0040,TXN0008247,2023-07-06,wrong_size,480.88,True
RET000227,SKU0229,TXN0058627,2023-12-23,defective,202.02,True
RET000228,SKU0119,TXN0029639,2023-12-14,style_preference,133.7,True
RET000229,SKU0226,TXN0057553,2023-02-08,wrong_item,660.11,True
RET000230,SKU0229,TXN0058647,2024-02-05,style_preference,199.25,True
RET000231,SKU0004,TXN0000958,2023-12-17,wrong_size,347.71,True
RET000232,SKU0128,TXN0032411,2023-11-07,quality_issue,97.24,True
RET000233,SKU0165,TXN0041337,2024-08-24,quality_issue,183.9,True
RET000234,SKU0149,TXN0037659,2023-10-01,style_preference,121.1,False
RET000235,SKU0088,TXN0021796,2023-09-22,quality_issue,207.51,True
RET000236,SKU0086,TXN0021491,2024-07-03,style_preference,106.42,True
RET000237,SKU0001,TXN0000477,2024-09-22,defective,382.95,True
RET000238,SKU0163,TXN0040351,2024-03-11,wrong_size,115.45,True
RET000239,SKU0073,TXN0016272,2023-07-23,quality_issue,308.31,True
RET000240,SKU0121,TXN0030471,2024-12-02,wrong_item,203.22,False
RET000241,SKU0239,TXN0060602,2023-05-11,wrong_size,56.87,True
RET000242,SKU0196,TXN0050123,2023-10-12,quality_issue,82.54,True
RET000243,SKU0157,TXN0038860,2023-07-12,quality_issue,107.93,True
RET000244,SKU0045,TXN0009290,2024-07-17,wrong_item,452.53,False
RET000245,SKU0141,TXN0035631,2023-06-19,defective,203.24,True
RET000246,SKU0165,TXN0041138,2023-11-16,quality_issue,196.53,False
RET000247,SKU0143,TXN0036005,2023-11-15,quality_issue,905.92,True
RET000248,SKU0075,TXN0017346,2024-05-17,wrong_size,56.88,True
RET000249,SKU0140,TXN0035396,2024-01-20,style_preference,88.65,True
RET000250,SKU0021,TXN0004658,2024-02-05,wrong_size,393.7,True
RET000251,SKU0269,TXN0068036,2024-07-24,quality_issue,70.88,False
RET000252,SKU0151,TXN0038379,2024-08-26,defective,269.84,True
RET000253,SKU0214,TXN0054766,2023-01-13,style_preference,306.15,True
RET000254,SKU0289,TXN0072826,2023-11-12,defective,128.44,True
RET000255,SKU0296,TXN0075286,2023-10-16,wrong_size,690.61,True
RET000256,SKU0028,TXN0005736,2023-08-30,style_preference,74.61,False
RET000257,SKU0159,TXN0039538,2024-01-20,wrong_size,402.14,True
RET000258,SKU0110,TXN0027065,2023-05-28,wrong_size,1130.36,True
RET000259,SKU0201,TXN0051915,2023-07-30,wrong_size,412.14,False
RET000260,SKU0110,TXN0027160,2023-11-09,quality_issue,1148.55,False
RET000261,SKU0015,TXN0003243,2023-02-26,wrong_size,138.53,False
RET000262,SKU0264,TXN0066816,2024-04-22,quality_issue,93.7,True
RET000263,SKU0196,TXN0050131,2023-10-12,defective,78.83,True
RET000264,SKU0231,TXN0058959,2024-01-03,style_preference,85.03,True
RET000265,SKU0143,TXN0036077,2024-05-11,style_preference,987.95,True
RET000266,SKU0282,TXN0071163,2024-09-11,wrong_item,77.8,True
RET000267,SKU0256,TXN0064911,2024-08-17,wrong_item,262.89,True
RET000268,SKU0174,TXN0044366,2025-01-13,defective,530.66,True
RET000269,SKU0286,TXN0072255,2024-08-05,style_preference,202.41,False
RET000270,SKU0251,TXN0063832,2023-07-19,wrong_size,322.29,False
RET000271,SKU0239,TXN0061046,2024-12-19,style_preference,49.95,True
RET000272,SKU0232,TXN0059612,2024-10-25,defective,181.1,True
RET000273,SKU0250,TXN0063740,2024-12-06,quality_issue,157.69,False
RET000274,SKU0057,TXN0012787,2024-06-24,wrong_size,193.4,True
RET000275,SKU0063,TXN0014006,2024-08-08,quality_issue,131.44,True
RET000276,SKU0148,TXN0037140,2023-08-14,style_preference,181.87,True
RET000277,SKU0100,TXN0024423,2023-09-23,wrong_item,667.39,True
RET000278,SKU0226,TXN0057811,2024-07-24,quality_issue,751.08,False
RET000279,SKU0188,TXN0047584,2023-07-03,wrong_size,59.15,False
RET000280,SKU0179,TXN0045041,2023-06-07,defective,350.41,False
RET000281,SKU0163,TXN0040486,2024-09-06,style_preference,93.54,False
RET000282,SKU0077,TXN0017874,2024-05-19,style_preference,99.74,False
RET000283,SKU0090,TXN0022473,2023-03-09,quality_issue,213.02,False
RET000284,SKU0295,TXN0075027,2024-01-25,wrong_size,219.75,True
RET000285,SKU0272,TXN0068868,2023-06-15,wrong_item,91.3,True
RET000286,SKU0161,TXN0040007,2024-12-20,wrong_size,91.0,False
RET000287,SKU0006,TXN0001286,2024-02-03,defective,768.02,True
RET000288,SKU0196,TXN0050202,2023-12-30,quality_issue,79.21,True
RET000289,SKU0200,TXN0051653,2023-12-29,wrong_size,155.05,True
RET000290,SKU0205,TXN0052701,2024-12-10,defective,69.16,True
RET000291,SKU0197,TXN0050642,2023-10-05,wrong_size,165.87,False
RET000292,SKU0242,TXN0061742,2023-12-24,wrong_size,382.97,False
RET000293,SKU0260,TXN0065625,2024-11-04,wrong_size,186.44,True
RET000294,SKU0055,TXN0011653,2023-09-13,wrong_size,291.1,True
RET000295,SKU0092,TXN0023176,2023-08-19,quality_issue,257.8,True
RET000296,SKU0016,TXN0003790,2023-12-16,quality_issue,66.32,False
RET000297,SKU0276,TXN0069996,2023-03-14,style_preference,169.6,True
RET000298,SKU0074,TXN0016913,2024-04-20,defective,67.19,False
RET000299,SKU0088,TXN0021901,2024-02-14,style_preference,243.06,True
RET000300,SKU0259,TXN0065052,2023-06-25,wrong_size,87.15,True
RET000301,SKU0143,TXN0036048,2024-02-05,wrong_item,894.8,True
RET000302,SKU0226,TXN0057886,2024-12-22,style_preference,693.65,True
RET000303,SKU0069,TXN0015573,2024-08-18,wrong_size,63.81,True
RET000304,SKU0090,TXN0022462,2023-02-04,style_preference,210.71,True
RET000305,SKU0117,TXN0029174,2024-12-10,defective,244.84,False
RET000306,SKU0107,TXN0026389,2023-04-10,wrong_item,157.49,True
RET000307,SKU0088,TXN0021711,2023-06-18,wrong_size,237.0,True
RET000308,SKU0201,TXN0051860,2023-04-25,style_preference,401.4,True
RET000309,SKU0054,TXN0011308,2024-02-06,defective,401.39,True
RET000310,SKU0149,TXN0037672,2023-11-21,style_preference,121.39,True
RET000311,SKU0149,TXN0037612,2023-07-03,wrong_size,117.43,False
RET000312,SKU0229,TXN0058555,2023-07-29,quality_issue,202.18,True
RET000313,SKU0088,TXN0021909,2024-01-28,wrong_item,233.33,False
RET000314,SKU0172,TXN0043702,2024-04-30,quality_issue,161.28,True
RET000315,SKU0274,TXN0069910,2024-08-18,wrong_size,191.33,True
RET000316,SKU0117,TXN0028815,2023-08-06,style_preference,240.95,True
RET000317,SKU0240,TXN0061298,2023-12-14,wrong_size,95.54,False
RET000318,SKU0044,TXN0008980,2024-07-30,defective,163.17,False
RET000319,SKU0214,TXN0054862,2023-09-01,style_preference,274.9,True
RET000320,SKU0177,TXN0044578,2024-08-17,wrong_size,164.8,False
RET000321,SKU0225,TXN0057318,2023-05-13,wrong_size,56.93,True
RET000322,SKU0036,TXN0007726,2024-06-18,defective,92.7,True
RET000323,SKU0255,TXN0064575,2024-08-17,quality_issue,44.36,False
RET000324,SKU0262,TXN0066297,2024-12-31,quality_issue,306.64,False
RET000325,SKU0214,TXN0054894,2023-12-09,style_preference,286.47,True
RET000326,SKU0242,TXN0061880,2024-10-06,defective,350.6,True
RET000327,SKU0168,TXN0042396,2024-01-12,style_preference,435.29,True
RET000328,SKU0032,TXN0006668,2024-01-09,quality_issue,564.88,True
RET000329,SKU0296,TXN0075319,2023-12-24,quality_issue,712.8,True
RET000330,SKU0291,TXN0073861,2024-08-23,defective,396.22,True
RET000331,SKU0031,TXN0006528,2024-12-12,wrong_size,399.13,True
RET000332,SKU0264,TXN0066715,2023-07-09,style_preference,92.83,True
RET000333,SKU0030,TXN0006060,2024-01-12,wrong_size,280.63,True
RET000334,SKU0208,TXN0053346,2023-09-05,quality_issue,423.03,True
RET000335,SKU0296,TXN0075296,2023-11-18,wrong_item,663.6,False
RET000336,SKU0212,TXN0054312,2024-05-26,quality_issue,212.63,True
RET000337,SKU0292,TXN0074250,2024-12-05,defective,69.05,False
RET000338,SKU0203,TXN0052418,2024-10-25,wrong_size,213.11,True
RET000339,SKU0200,TXN0051592,2023-08-28,quality_issue,163.4,True
RET000340,SKU0171,TXN0043214,2023-11-23,quality_issue,76.55,True
RET000341,SKU0196,TXN0049959,2023-03-05,wrong_item,86.35,True
RET000342,SKU0262,TXN0066144,2023-12-01,defective,253.56,False
RET000343,SKU0240,TXN0061575,2024-12-16,quality_issue,89.16,True
RET000344,SKU0091,TXN0022897,2023-11-18,style_preference,82.53,True
RET000345,SKU0239,TXN0060752,2023-11-12,quality_issue,58.56,True
RET000346,SKU0174,TXN0044064,2023-12-03,wrong_size,511.39,False
RET000347,SKU0273,TXN0069509,2024-02-19,wrong_size,70.67,True
RET000348,SKU0027,TXN0005523,2024-01-06,wrong_size,201.32,True
RET000349,SKU0233,TXN0059870,2024-04-25,wrong_size,753.4,True
RET000350,SKU0046,TXN0009635,2024-09-28,wrong_item,446.2,True
RET000351,SKU0248,TXN0063016,2023-07-29,wrong_item,128.86,True
RET000352,SKU0075,TXN0017173,2023-04-06,wrong_size,55.24,False
RET000353,SKU0268,TXN0067611,2023-09-10,style_preference,49.98,True
RET000354,SKU0105,TXN0025835,2023-03-12,quality_issue,447.77,False
RET000355,SKU0295,TXN0075139,2024-09-10,defective,229.96,True
RET000356,SKU0232,TXN0059245,2023-07-05,wrong_size,184.85,True
RET000357,SKU0261,TXN0065898,2024-06-29,wrong_size,49.68,True
RET000358,SKU0269,TXN0067811,2023-02-08,wrong_size,65.63,False
RET000359,SKU0032,TXN0006757,2024-08-16,style_preference,561.98,False
RET000360,SKU0039,TXN0007979,2023-12-17,wrong_size,52.25,False
RET000361,SKU0026,TXN0005301,2024-07-05,quality_issue,81.97,False
RET000362,SKU0172,TXN0043548,2023-05-07,style_preference,156.32,False
RET000363,SKU0119,TXN0029691,2024-04-08,wrong_size,123.24,True
RET000364,SKU0110,TXN0027334,2024-11-05,quality_issue,1044.72,True
RET000365,SKU0140,TXN0035377,2023-12-15,wrong_item,95.78,True
RET000366,SKU0156,TXN0038433,2023-02-19,wrong_size,278.59,False
RET000367,SKU0138,TXN0034945,2024-01-12,wrong_size,174.09,True
RET000368,SKU0021,TXN0004789,2024-12-20,defective,466.86,False
RET000369,SKU0201,TXN0052109,2024-09-08,quality_issue,416.48,False
RET000370,SKU0260,TXN0065383,2023-06-25,wrong_size,168.07,False
RET000371,SKU0220,TXN0056596,2025-01-26,style_preference,203.35,True
RET000372,SKU0213,TXN0054678,2024-08-27,defective,50.07,True
RET000373,SKU0074,TXN0016701,2023-07-23,wrong_size,57.58,False
RET000374,SKU0184,TXN0046255,2024-10-10,wrong_item,150.9,True
RET000375,SKU0086,TXN0021583,2024-11-25,wrong_item,111.11,True
RET000376,SKU0187,TXN0046921,2023-01-22,style_preference,159.6,True
RET000377,SKU0026,TXN0005119,2023-05-17,quality_issue,84.28,False
RET000378,SKU0286,TXN0071986,2023-09-13,defective,186.58,False
RET000379,SKU0129,TXN0032818,2024-05-24,style_preference,48.74,True
RET000380,SKU0032,TXN0006699,2024-04-19,quality_issue,597.33,False
RET000381,SKU0101,TXN0024858,2024-07-21,style_preference,697.1,True
RET000382,SKU0055,TXN0011669,2023-10-09,wrong_size,327.48,False
RET000383,SKU0286,TXN0071980,2023-08-24,wrong_size,206.39,False
